movie_title,title_year,language,country,duration,color,genres,imdb_score,plot_keywords,director_name,Actors_name,num_voted_users,num_user_for_reviews,num_critic_for_reviews,content_rating,aspect_ratio,budget,gross,profit,facenumber_in_poster,movie_imdb_link,,,,
The Longshots,2008,English,USA,94,Color,Biography|Comedy|Drama|Family|Sport,5.1,absent father|american football|based on true story|middle school,Fred Durst,Tasha Smith |  Dash Mihok |  Garrett Morris,3174,19,47,PG,2.35,23000000,11508423,-11491577,2,http://www.imdb.com/title/tt1091751/?ref_=fn_tt_tt_1,,,,          
Mad Money,2008,English,USA,104,Color,Comedy|Crime|Thriller,5.8,bank|federal reserve bank|money|security guard|shredder,Callie Khouri,Stephen Root |  Ted Danson |  Roger Cross,16831,54,98,PG-13,2.35,22000000,20668843,-1331157,3,http://www.imdb.com/title/tt0951216/?ref_=fn_tt_tt_1,,,,          
Never Back Down,2008,English,USA,110,Color,Action|Drama|Sport,6.6,club|fight|fighting|high school|mixed martial arts,Jeff Wadlow,Djimon Hounsou |  Neil Brown Jr. |  Leslie Hope,80556,184,140,PG-13,2.35,20000000,24848292,4848292,1,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,,,,          
Swing Vote,2008,English,USA,120,Color,Comedy|Drama,6.1,ballot|election|new mexico|vote|voting,Joshua Michael Stern,Madeline Carroll |  Judge Reinhold |  Nathan Lane,15079,79,131,PG-13,2.35,21000000,16284360,-4715640,1,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,,,,          
Beverly Hills Chihuahua,2008,English,USA,91,Color,Adventure|Comedy|Drama|Family|Romance,3.7,chihuahua|german shepherd|mexico|potted plant|tijuana mexico,Raja Gosnell,Jamie Lee Curtis |  Nick Zano |  Ali Hillis,17829,99,100,PG,2.35,20000000,94497271,74497271,1,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,,,,          
Lakeview Terrace,2008,English,USA,110,Color,Crime|Drama|Thriller,6.1,interracial couple|lapd|male nudity|neighbor|nudity,Neil LaBute,Jay Hernandez |  Justin Chambers |  Robert Pine,40469,135,165,PG-13,2.35,22000000,39263506,17263506,1,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,,,,          
Doubt,2008,English,USA,104,Color,Drama|Mystery,7.5,boy|catholic|nun|priest|student,John Patrick Shanley,Philip Seymour Hoffman |  Meryl Streep |  Carrie Preston,99236,321,293,PG-13,1.85,20000000,33422556,13422556,0,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,,,,          
Milk,2008,English,USA,128,Color,Biography|Drama|History,7.6,california|gay|gay activist|gay pickup|gay rights,Gus Van Sant,James Franco |  Denis O'Hare |  Lucas Grabeel,136673,281,324,R,1.85,20000000,31838002,11838002,1,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,,,,          
One Missed Call,2008,English,Japan,87,Color,Horror|Mystery,3.9,death|lifting someone into the air|telephone|telephone call|voice mail,Eric Valette,Johnny Lewis |  Jason Beghe |  Margaret Cho,26624,189,141,PG-13,1.85,27000000,26876529,-123471,1,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,,,,          
The Bank Job,2008,English,UK,111,Color,Crime|Drama|Romance|Thriller,7.3,chase|heist|london england|mobster|safe deposit,Roger Donaldson,Jason Statham |  Saffron Burrows |  Daniel Mays,152247,189,222,R,2.35,20000000,30028592,10028592,0,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,,,,          
Street Kings,2008,English,USA,109,Color,Action|Crime|Drama|Thriller,6.8,captain|lapd|murder|undercover cop|violence,David Ayer,Keanu Reeves |  Chris Evans |  Noel Gugliemi,94892,189,190,R,2.35,20000000,26415649,6415649,4,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,,,,          
Appaloosa,2008,English,USA,115,Color,Crime|Drama|Western,6.8,deputy|friend|hanging|rancher|widow,Ed Harris,Viggo Mortensen |  James Gammon |  Tom Bower,50198,202,190,R,2.35,,20207003,20207003,0,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,,,,          
My Best Friend's Girl,2008,English,USA,112,Color,Comedy|Romance,5.9,breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding,Howard Deutch,Dane Cook |  Taran Killam |  Riki Lindhome,36983,100,80,R,1.85,40000000,19151864,-20848136,3,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,,,,          
Twilight,2008,English,USA,122,Color,Drama|Fantasy|Romance,5.2,blood|high school|love|school|vampire,Catherine Hardwicke,Kristen Stewart |  Taylor Lautner |  Anna Kendrick,348010,1535,350,PG-13,2.35,37000000,191449475,154449475,1,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,,,,          
Disaster Movie,2008,English,USA,88,Color,Comedy,1.9,disaster|glass|mousetrap|natural disaster|scatological humor,Jason Friedberg,Carmen Electra |  Tony Cox |  Ike Barinholtz,74945,359,111,PG-13,1.85,25000000,14174654,-10825346,0,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,,,,          
Ghost Town,2008,English,USA,102,Color,Comedy|Drama|Fantasy|Romance,6.7,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,David Koepp,Aasif Mandvi |  Dequina Moore |  Jordan Carlos,60516,147,210,PG-13,1.85,20000000,13214030,-6785970,3,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,,,,          
Be Kind Rewind,2008,English,UK,102,Color,Comedy,6.4,friend|power plant|sabotage|store clerk|video store,Michel Gondry,Quinton Aaron |  Mia Farrow |  Melonie Diaz,79855,235,248,PG-13,2.35,20000000,11169531,-8830469,2,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,,,,          
An American Carol,2008,English,USA,83,Color,Comedy|Fantasy,4.3,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,David Zucker,Chriss Anglin |  Geoffrey Arend |  Gary Coleman,8560,205,45,PG-13,2.35,12000000,7001720,-4998280,2,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,,,,          
Strange Wilderness,2008,English,USA,87,Color,Adventure|Comedy,5.3,bigfoot|critically bashed|ecuador|friend|tv show,Fred Wolf,Kevin Alejandro |  Ashley Scott |  Jeff Garlin,18571,120,58,R,2.35,20000000,6563357,-13436643,4,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,,,,          
Passchendaele,2008,English,Canada,114,Color,Drama|History|Romance|War,6.5,battle|canadian armed forces|canadian soldier|directed by star|veteran,Paul Gross,Landon Liboiron |  Michael Greyeyes |  Caroline Dhavernas,6904,102,25,R,2.35,20000000,,-20000000,0,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,,,,          
Flash of Genius,2008,English,USA,119,Color,Biography|Drama,7,flash of genius|genius|intellectual property|professor|university,Marc Abraham,Dylan Authors |  Bill Lake |  Victoria Learn,14301,45,99,PG-13,2.35,20000000,4234040,-15765960,0,http://www.imdb.com/title/tt1054588/?ref_=fn_tt_tt_1,,,,          
The Brothers Bloom,2008,English,USA,114,Color,Adventure|Comedy|Drama|Romance,6.9,con man|eccentric|heiress|love|revenge,Rian Johnson,Zachary Gordon |  Maximilian Schell |  Nora Zehetner,41737,105,182,PG-13,2.35,20000000,3519627,-16480373,4,http://www.imdb.com/title/tt0844286/?ref_=fn_tt_tt_1,,,,          
"Synecdoche, New York",2008,English,USA,124,Color,Comedy|Drama|Romance,7.5,actress|director|play|theatre director|warehouse,Charlie Kaufman,Philip Seymour Hoffman |  Jennifer Jason Leigh |  Samantha Morton,55842,274,245,R,2.35,21000000,3081925,-17918075,0,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,,,,          
The Children of Huang Shi,2008,English,Australia,125,Color,Drama|War,7.1,british|communist|journalist|nurse|orphan,Roger Spottiswoode,Radha Mitchell |  Guang Li |  Matthew Walker,8087,33,67,R,2.35,40000000,1027749,-38972251,4,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,,,,          
CJ7,2008,Cantonese,Hong Kong,86,Color,Comedy|Family|Sci-Fi,6.5,father son relationship|miracle|school|ufo|written and directed by cast member,Stephen Chow,Jiao Xu |  Yuqi Zhang |  Chi Chung Lam,11391,66,83,PG,2.35,,206678,206678,1,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,,,,          
Three Kingdoms: Resurrection of the Dragon,2008,Mandarin,China,102,Color,Action|Drama|History|War,6.2,art of war|china|civil war|female warrior|musician,Daniel Lee,Andy Lau |  Sammo Kam-Bo Hung |  Andy On,5154,29,29,R,2.35,25000000,,-25000000,3,http://www.imdb.com/title/tt0882978/?ref_=fn_tt_tt_1,,,,          
The Baader Meinhof Complex,2008,German,Germany,184,Color,Action|Biography|Crime|Drama,7.4,bonn germany|failed kidnapping|handcuffs|projectile|terrorist,Uli Edel,Moritz Bleibtreu |  Alexandra Maria Lara |  Martina Gedeck,29602,110,160,R,1.85,20000000,476270,-19523730,2,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,,,,          
Sex Drive,2008,English,USA,129,Color,Adventure|Comedy|Romance,6.5,amish|friend|friendship|high school|virgin,Sean Anders,Katrina Bowden |  Michael Cudlitz |  Alice Greczyn,72715,103,102,R,1.85,19000000,8396942,-10603058,1,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,,,,          
Prom Night,2008,English,USA,89,Color,Horror|Mystery,3.9,friend|hotel|killer|murder|prom,Nelson McCormick,Ming-Na Wen |  Scott Porter |  Collins Pennie,27664,260,146,PG-13,2.35,20000000,43818159,23818159,0,http://www.imdb.com/title/tt0926129/?ref_=fn_tt_tt_1,,,,          
RocknRolla,2008,English,UK,114,Color,Action|Crime|Thriller,7.3,accountant|finger gun|homosexual|killed in an elevator|painting,Guy Ritchie,Tom Hardy |  Gerard Butler |  Tom Wilkinson,194489,192,209,R,2.35,18000000,5694401,-12305599,4,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,,,,          
The Informers,2008,English,Germany,98,Color,Crime|Drama|Thriller,5.1,breasts|female nudity|male pubic hair|pubic hair|sex scene,Gregor Jordan,Austin Nichols |  Brad Renfro |  Lou Taylor Pucci,14324,93,97,R,2.35,18000000,,-18000000,1,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,,,,          
Step Up 2: The Streets,2008,English,USA,98,Color,Drama|Music|Musical|Romance,6.2,audition|dance|kissing in the rain|student|subway,Jon M. Chu,Cassie Ventura |  Mari Koda |  Luis Rosado,67653,108,97,PG-13,1.85,23000000,58006147,35006147,2,http://www.imdb.com/title/tt1023481/?ref_=fn_tt_tt_1,,,,          
Dragon Hunters,2008,French,France,80,Color,Adventure|Animation|Family|Fantasy,6.6,cgi film|computer animation|dragon|hunter,Guillaume Ivernel,Rob Paulsen |  Jess Harnell |  Mary Mouser,10706,39,41,PG,,11000000,,-11000000,0,http://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,,,,          
The Women,2008,English,USA,114,Color,Comedy|Drama,4.9,beauty salon|divorce|fashion|new york|perfume,Diane English,Jada Pinkett Smith |  Debi Mazar |  Debra Messing,16582,125,124,PG-13,1.85,16500000,26896744,10396744,4,http://www.imdb.com/title/tt0430770/?ref_=fn_tt_tt_1,,,,          
Vicky Cristina Barcelona,2008,English,Spain,96,Color,Drama|Romance,7.2,art|artist|painter|sex|summer,Woody Allen,Scarlett Johansson |  Kevin Dunn |  Christopher Evan Welch,198111,365,275,PG-13,1.85,15500000,23213577,7713577,0,http://www.imdb.com/title/tt0497465/?ref_=fn_tt_tt_1,,,,          
Welcome to the Sticks,2008,French,France,106,Color,Comedy|Romance,7.1,alcohol|alcoholic drink|drunken man|france|provence,Dany Boon,Dany Boon |  Kad Merad |  Michel Galabru,30587,49,78,,2.35,11000000,,-11000000,2,http://www.imdb.com/title/tt1064932/?ref_=fn_tt_tt_1,,,,          
Good,2008,English,UK,92,Color,Drama|Romance|War,6.2,censorship|children|corpse|heil hitler|suffering,Vicente Amorim,Viggo Mortensen |  Jodie Whittaker |  Steven Mackintosh,5664,42,67,R,2.35,15000000,23091,-14976909,1,http://www.imdb.com/title/tt0436364/?ref_=fn_tt_tt_1,,,,          
The Yellow Handkerchief,2008,English,USA,102,Color,Drama|Romance,6.8,louisiana|overalls|road trip|southern u.s.|teenage boy,Udayan Prasad,Kristen Stewart |  Eddie Redmayne |  William Hurt,6723,36,60,PG-13,2.35,15500000,317040,-15182960,1,http://www.imdb.com/title/tt0954990/?ref_=fn_tt_tt_1,,,,          
The Hurt Locker,2008,English,USA,131,Color,Drama|History|Thriller|War,7.6,army|bomb|dangerous job|death|iraq,Kathryn Bigelow,Jeremy Renner |  Christian Camargo |  Brian Geraghty,332065,876,388,R,1.85,15000000,15700000,700000,0,http://www.imdb.com/title/tt0887912/?ref_=fn_tt_tt_1,,,,          
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,English,USA,85,Color,Adventure|Animation|Comedy|Family,5.7,17th century|king|pirate|vegetable|waiter,Mike Nawrocki,Yuri Lowenthal |  Cam Clarke |  Phil Vischer,2037,22,37,G,1.85,15000000,12701880,-2298120,0,http://www.imdb.com/title/tt0475998/?ref_=fn_tt_tt_1,,,,          
In Bruges,2008,English,UK,107,Color,Comedy|Crime|Drama,8,bruges|bullet|hope|irish|tourist,Martin McDonagh,Elizabeth Berrington |  Anna Madeley |  Eric Godon,307639,513,300,R,2.35,15000000,7757130,-7242870,1,http://www.imdb.com/title/tt0780536/?ref_=fn_tt_tt_1,,,,          
The Rocker,2008,English,USA,102,Color,Comedy|Music,6.2,20 years later|drummer|hdtv|rock band|rock star,Peter Cattaneo,Emma Stone |  Bradley Cooper |  Josh Gad,32311,104,132,PG-13,1.85,15000000,6409206,-8590794,4,http://www.imdb.com/title/tt1031969/?ref_=fn_tt_tt_1,,,,          
Transsiberian,2008,English,Spain,111,Color,Crime|Drama|Mystery|Thriller,6.7,35 mm digital camera|drugs|murder|train|travel,Brad Anderson,Thomas Kretschmann |  Eduardo Noriega |  Mac McDonald,42792,162,150,R,2.35,15000000,2203641,-12796359,0,http://www.imdb.com/title/tt0800241/?ref_=fn_tt_tt_1,,,,          
Ong-bak 2,2008,Thai,Thailand,110,Color,Action,6.2,cult film|elephant|jungle|martial arts|stylized violence,Tony Jaa,Nirut Sirichanya |  Petchtai Wongkamlao |  Sarunyu Wongkrachang,24570,72,110,R,2.35,300000000,102055,-299897945,0,http://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1,,,,          
The Midnight Meat Train,2008,English,USA,103,Color,Fantasy|Horror|Mystery,6.1,butcher|girlfriend|mute character|photographer|subway,Ryûhei Kitamura,Bradley Cooper |  Brooke Shields |  Leslie Bibb,47574,209,177,R,2.35,15000000,73548,-14926452,0,http://www.imdb.com/title/tt0805570/?ref_=fn_tt_tt_1,,,,          
Bathory: Countess of Blood,2008,English,Slovakia,141,Color,Biography|Drama|Fantasy|History,6,bathory|countess|female protagonist|legend|virgin blood,Juraj Jakubisko,Anna Friel |  Hans Matheson |  Franco Nero,3425,32,25,R,2.35,,,0,1,http://www.imdb.com/title/tt0469640/?ref_=fn_tt_tt_1,,,,          
Slumdog Millionaire,2008,English,UK,120,Color,Drama|Romance,8,cheating|falling from height|murder|non professional cast|slum,Danny Boyle,Anil Kapoor |  Saurabh Shukla |  Ayush Mahesh Khedekar,641997,1017,418,R,2.35,15000000,141319195,126319195,0,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,,,,          
Easy Virtue,2008,English,UK,97,Color,Comedy|Romance,6.7,estate|female frontal nudity|female nudity|no panties|unhappy marriage,Stephan Elliott,Colin Firth |  Kristin Scott Thomas |  Kris Marshall,16444,79,135,PG-13,2.35,,2656324,2656324,4,http://www.imdb.com/title/tt0808244/?ref_=fn_tt_tt_1,,,,          
The Lucky Ones,2008,English,USA,115,Color,Comedy|Drama|War,7,college tuition|guitar|road trip|soldier|stranded,Neil Burger,John Heard |  Katherine LaNasa |  Mark L. Young,11704,36,57,R,1.85,15000000,183088,-14816912,0,http://www.imdb.com/title/tt0981072/?ref_=fn_tt_tt_1,,,,          
The Boy in the Striped Pajamas,2008,English,UK,94,Color,Drama|War,7.8,boy|fence|jew|nazis|poison gas,Mark Herman,Richard Johnson |  Sheila Hancock |  Cara Horgan,132386,398,185,PG-13,1.85,12500000,9030581,-3469419,0,http://www.imdb.com/title/tt0914798/?ref_=fn_tt_tt_1,,,,          
Harold & Kumar Escape from Guantanamo Bay,2008,English,USA,102,Color,Adventure|Comedy,6.6,bong|escape|ex girlfriend|guantanamo bay|texas,Jon Hurwitz,Danneel Ackles |  Eric Winter |  Beverly D'Angelo,113918,165,153,R,1.85,12000000,38087366,26087366,2,http://www.imdb.com/title/tt0481536/?ref_=fn_tt_tt_1,,,,          
Quarantine,2008,English,USA,89,Color,Horror|Sci-Fi|Thriller,6,apartment building|found footage|television|trapped|virus,John Erick Dowdle,Andrew Fiscella |  Jay Hernandez |  Dania Ramirez,57446,369,198,R,1.85,12000000,31691811,19691811,0,http://www.imdb.com/title/tt1082868/?ref_=fn_tt_tt_1,,,,          
The Eye,2008,English,USA,92,Color,Horror|Mystery,5.4,cellular memory|eye|eye transplant|seeing dead people|violinist,David Moreau,Chloë Grace Moretz |  Alessandro Nivola |  Obba Babatundé,44130,156,172,PG-13,2.35,12000000,31397498,19397498,1,http://www.imdb.com/title/tt0406759/?ref_=fn_tt_tt_1,,,,          
Rachel Getting Married,2008,English,USA,113,Color,Drama|Romance,6.7,12 step program|friend|maid of honor|tears|wedding,Jonathan Demme,Anne Hathaway |  Rosemarie DeWitt |  Bill Irwin,41226,281,232,R,1.85,,12796277,12796277,1,http://www.imdb.com/title/tt1084950/?ref_=fn_tt_tt_1,,,,          
Cadillac Records,2008,English,USA,109,Color,Biography|Drama|Music,7,1950s|jazz|jazz music|sex|title directed by female,Darnell Martin,Cedric the Entertainer |  Veronika Dash |  Tammy Blanchard,15412,90,81,R,2.35,12000000,8134217,-3865783,3,http://www.imdb.com/title/tt1042877/?ref_=fn_tt_tt_1,,,,          
Two Lovers,2008,English,USA,110,Color,Drama|Romance,7.1,jewish|love|married man|neighbor|photograph,James Gray,Isabella Rossellini |  Vinessa Shaw |  Samantha Ivers,29613,98,190,R,2.35,12000000,3148482,-8851518,0,http://www.imdb.com/title/tt1103275/?ref_=fn_tt_tt_1,,,,          
High School Musical 3: Senior Year,2008,English,USA,112,Color,Comedy|Drama|Family|Music|Musical|Romance,4.5,basketball|curtain call|graduation|high school|high school senior,Kenny Ortega,Lucas Grabeel |  Matt Prokop |  Corbin Bleu,43795,171,128,G,1.85,11000000,90556401,79556401,1,http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1,,,,          
The Secret Life of Bees,2008,English,USA,110,Color,Drama,7.3,beekeeping|insect in title|racism|sister|south carolina,Gina Prince-Bythewood,Nate Parker |  Alicia Keys |  Jennifer Hudson,19440,56,109,PG-13,2.35,11000000,37766350,26766350,5,http://www.imdb.com/title/tt0416212/?ref_=fn_tt_tt_1,,,,          
Saw V,2008,English,USA,95,Color,Horror|Mystery,5.8,blood splatter|jigsaw|nazi|serial killer|swastika tattoo,David Hackl,Julie Benz |  Costas Mandylor |  Scott Patterson,88529,262,160,R,1.85,10800000,56729973,45929973,0,http://www.imdb.com/title/tt1132626/?ref_=fn_tt_tt_1,,,,          
Nick and Norah's Infinite Playlist,2008,English,USA,90,Color,Comedy|Drama|Music|Romance,6.7,band|gay|gay friend|love|night,Peter Sollett,Ari Graynor |  Alexis Dziena |  Aaron Yoo,74887,129,166,PG-13,1.85,9000000,31487293,22487293,2,http://www.imdb.com/title/tt0981227/?ref_=fn_tt_tt_1,,,,          
Kit Kittredge: An American Girl,2008,English,USA,101,Color,Drama|Family,6.7,boarding house|girl|great depression|house|ohio,Patricia Rozema,Julia Ormond |  Jane Krakowski |  Willow Smith,4719,24,73,G,1.85,10000000,17655201,7655201,1,http://www.imdb.com/title/tt0846308/?ref_=fn_tt_tt_1,,,,          
Over Her Dead Body,2008,English,USA,95,Color,Comedy|Fantasy|Romance,5.2,accident|diary|ghost|psychic|veterinarian,Jeff Lowell,Stephen Root |  William Morgan Sheppard |  Wendi McLendon-Covey,21268,53,100,PG-13,2.35,10000000,7563670,-2436330,0,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,,,,          
"War, Inc.",2008,English,USA,107,Color,Action|Comedy|Thriller,5.7,assassin|corporation|pop star|reporter|satire,Joshua Seftel,Bashar Rahal |  Sergej Trifunovic |  Ned Bellamy,20008,112,79,R,1.78,10000000,578527,-9421473,3,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,,,,          
Free Style,2008,English,Canada,94,Color,Drama,4.2,,William Dear,Madison Pettis |  Corbin Bleu |  Sandra Echeverría,361,4,16,PG,1.85,,140987,140987,3,http://www.imdb.com/title/tt1128071/?ref_=fn_tt_tt_1,,,,          
The Oxford Murders,2008,English,Spain,104,Color,Crime|Mystery|Thriller,6.1,landlady|lecture|murder|oxford university|symbol,Álex de la Iglesia,Jim Carter |  Leonor Watling |  Danny Sapani,22753,94,71,R,2.35,10000000,3607,-9996393,4,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,,,,          
Fifty Dead Men Walking,2008,English,UK,117,Color,Drama|Thriller,6.9,1980s|ira|near death experience|title directed by female|what happened to epilogue,Kari Skogland,Jim Sturgess |  Kevin Zegers |  Michael McElhatton,9585,38,76,R,2.35,6000000,,-6000000,1,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,,,,          
Adam Resurrected,2008,English,Germany,106,Color,Drama|War,6.3,circus|dog|entertainer|holocaust|patient,Paul Schrader,Veronica Ferres |  Ayelet Zurer |  Derek Jacobi,3075,31,75,R,2.35,10000000,,-10000000,2,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,,,,          
"The Good, the Bad, the Weird",2008,Korean,South Korea,135,Color,Action|Adventure|Comedy|Western,7.3,bounty hunter|manchuria|map|train|treasure,Jee-woon Kim,Kang-ho Song |  Woo-sung Jung |  Dal-su Oh,26156,74,152,R,2.35,10000000,128486,-9871514,0,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,,,,          
Hamlet 2,2008,English,USA,92,Color,Comedy|Music,6.4,gang banger|sequel|shakespeare's hamlet|student|time machine,Andrew Fleming,Steve Coogan |  Amy Poehler |  David Arquette,15200,76,129,R,1.85,9000000,4881867,-4118133,1,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,,,,          
Flame and Citron,2008,Danish,Denmark,45,Color,Drama|History|Thriller|War,7.3,danish|double agent|nazi|nazi occupation|resistance,Ole Christian Madsen,Lars Mikkelsen |  Thure Lindhardt |  Christian Berkel,14247,44,80,Not Rated,2.35,45000000,145109,-44854891,1,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,,,,          
Repo! The Genetic Opera,2008,English,USA,150,Color,Horror|Musical|Sci-Fi,6.7,future|murder|opera|repossession|surgery,Darren Lynn Bousman,Alexa PenaVega |  Paris Hilton |  Paul Sorvino,20419,259,147,R,1.85,8500000,140244,-8359756,1,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,,,,          
Shutter,2008,English,USA,90,Color,Horror|Mystery|Thriller,5.2,car accident|japan|newlywed|photograph|photographer,Masayuki Ochiai,James Kyson |  David Denman |  Daisy Betts,26609,148,135,PG-13,1.85,8000000,25926543,17926543,1,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,,,,          
Pathology,2008,English,USA,95,Color,Crime|Horror|Thriller,6,corpse|dark humor|medical school|murder|pathology,Marc Schölermann,John de Lancie |  Larry Drake |  Johnny Whitworth,26849,107,79,R,2.35,8000000,108662,-7891338,0,http://www.imdb.com/title/tt0964539/?ref_=fn_tt_tt_1,,,,          
Witless Protection,2008,English,USA,97,Color,Comedy|Crime,3.1,fbi|polo|possum|sheriff|shotgun,Charles Robert Carner,Ivana Milicevic |  Jenny McCarthy |  Richard Bull,5463,20,35,PG-13,1.85,7500000,4131640,-3368360,2,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,,,,          
The Wave,2008,German,Germany,107,Color,Drama|Thriller,7.6,autocracy|based on real events|dictatorship|germany|teacher,Dennis Gansel,Max Riemelt |  Elyas M'Barek |  Jennifer Ulrich,80639,96,93,,2.35,5000000,,-5000000,0,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,,,,          
"Definitely, Maybe",2008,English,Germany,112,Color,Comedy|Drama|Romance,7.2,college|daughter|girl|sex|wisconsin,Adam Brooks,Ryan Reynolds |  Sakina Jaffrey |  Paulina Gerzon,127760,168,160,PG-13,2.35,,31973840,31973840,5,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,,,,          
Redbelt,2008,English,USA,99,Color,Drama|Sport,6.8,bar|debt|fight|instructor|jujitsu,David Mamet,Alice Braga |  Randy Couture |  Jose Pablo Cantillo,18561,119,158,R,2.35,7000000,2344847,-4655153,0,http://www.imdb.com/title/tt1012804/?ref_=fn_tt_tt_1,,,,          
Stargate: The Ark of Truth,2008,English,USA,97,Color,Action|Adventure|Drama|Fantasy|Sci-Fi,7.4,2000s|evil god|space opera|stargate|wormhole,Robert C. Cooper,Ben Browder |  Christopher Judge |  Julian Sands,15862,42,18,,1.78,,,0,5,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1,,,,          
The Wrestler,2008,English,USA,109,Color,Drama|Sport,7.9,heart attack|stripper|supermarket|wrestler|wrestling,Darren Aronofsky,Mark Margolis |  John D'Leo |  Ajay Naidu,251349,547,391,R,2.35,6000000,26236603,20236603,0,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,,,,          
Dolphins and Whales 3D: Tribes of the Ocean,2008,English,UK,42,Color,Adventure|Documentary|Short,6.5,3d in title|animal in title|digit in title|dolphin|manatee,Jean-Jacques Mantello,Charlotte Rampling |  Daryl Hannah,172,5,9,,1.78,6000000,7518876,1518876,0,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,,,,          
College,2008,English,USA,94,Color,Comedy,4.6,college|face slap|high school|loss of virginity|pierced nipple,Deb Hagan,Drake Bell |  Alona Tal |  Haley Bennett,11011,78,42,R,1.85,6500000,4693919,-1806081,0,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,,,,          
The Wackness,2008,English,USA,99,Color,Comedy|Drama|Romance,7,ice cream|marijuana|new york city|summer|therapy,Jonathan Levine,Mary-Kate Olsen |  Aaron Yoo |  Method Man,27266,75,147,R,2.35,6000000,2077046,-3922954,2,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,,,,          
"Surfer, Dude",2008,English,USA,85,Color,Comedy,4.7,barefoot|endorsement|surfboard|virtual reality|waves,S.R. Bindler,Matthew McConaughey |  Scott Glenn |  Sarah Wright,7367,37,26,R,1.85,6000000,36497,-5963503,0,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,,,,          
Winter in Wartime,2008,Dutch,Netherlands,103,Color,Drama|History|War,7.1,horse|nazi|occupation|resistance movement|uncle nephew relationship,Martin Koolhoven,Yorick van Wageningen |  Tygo Gernandt |  Martijn Lakemeier,9230,37,111,R,2.35,4000000,542860,-3457140,1,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,,,,          
The Haunting of Molly Hartley,2008,English,USA,82,Color,Drama|Horror|Thriller,3.8,18th birthday|birthday|community center|resurrection|teenager,Mickey Liddell,Jessica Lowndes |  Randy Wayne |  Haley Bennett,7904,113,74,PG-13,1.85,5000000,13350177,8350177,5,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,,,,          
